no_of_adults,no_of_children,no_of_weekend_nights,no_of_week_nights,required_car_parking_space,lead_time,arrival_year,arrival_month,arrival_date,repeated_guest,no_of_previous_cancellations,no_of_previous_bookings_not_canceled,avg_price_per_room,no_of_special_requests,market_segment_type_Aviation,market_segment_type_Complementary,market_segment_type_Corporate,market_segment_type_Offline,market_segment_type_Online,booking_status_Not_Canceled,room_type_reserved,total_nights,total_people,price_per_person,is_family,stay_duration_flag,lead_time_category_8-30j,lead_time_category_31-90j,lead_time_category_91-180j,lead_time_category_181j+,meal_plan_selected
2,0,2,1,0,221,2017,10,17,0,0,0,65.0,0,0,0,0,1,0,1,1,3,2,32.5,0,0,0,0,0,1,1
2,0,0,3,0,119,2018,2,10,0,0,0,81.0,1,0,0,0,0,1,0,2,3,2,40.5,0,0,0,0,1,0,1
2,0,2,1,0,31,2018,10,15,0,0,0,85.0,0,0,0,0,1,0,1,1,3,2,42.5,0,0,0,1,0,0,1
2,0,2,3,0,87,2018,5,21,0,0,0,119.85,1,0,0,0,0,1,1,1,5,2,59.925,0,0,0,1,0,0,1
2,0,1,4,0,73,2018,5,25,0,0,0,129.96,1,0,0,0,0,1,1,4,5,2,64.98,0,0,0,1,0,0,1
2,1,2,0,0,124,2018,10,9,0,0,0,135.0,0,0,0,0,0,1,0,4,2,3,45.0,1,0,0,0,1,0,1
3,0,2,3,0,54,2018,9,2,0,0,0,139.86,0,0,0,0,0,1,0,4,5,3,46.620000000000005,0,0,0,1,0,0,1
2,2,2,3,0,169,2018,7,3,0,0,0,158.95,1,0,0,0,0,1,0,6,5,4,39.7375,1,0,0,0,1,0,1
2,1,2,0,0,11,2018,10,2,0,0,0,135.0,3,0,0,0,0,1,1,1,2,3,45.0,1,0,1,0,0,0,0
2,0,2,0,0,386,2018,10,23,0,0,0,115.0,1,0,0,0,0,1,0,1,2,2,57.5,0,0,0,0,0,1,1
2,0,0,1,0,38,2018,9,2,0,0,0,109.8,0,0,0,0,0,1,1,1,1,2,54.9,0,0,0,1,0,0,1
1,0,2,1,0,1,2018,2,28,0,0,0,60.0,0,0,0,0,0,1,0,1,3,1,60.0,0,0,0,0,0,0,1
2,0,0,2,0,301,2018,11,18,0,0,0,52.0,0,0,0,0,0,1,0,1,2,2,26.0,0,0,0,0,0,1,1
1,0,0,2,0,103,2018,4,19,0,0,0,115.0,0,0,0,0,0,1,0,1,2,1,115.0,0,0,0,0,1,0,1
2,0,0,4,0,10,2018,11,1,0,0,0,102.0,0,0,0,0,0,1,0,1,4,2,51.0,0,0,1,0,0,0,0
2,0,1,3,0,66,2018,5,9,0,0,0,152.15,1,0,0,0,0,1,1,1,4,2,76.075,0,0,0,1,0,0,1
0,2,0,1,0,9,2018,12,10,0,0,0,90.51525754884548,1,0,1,0,0,0,1,2,1,2,45.25762877442274,1,0,1,0,0,0,1
2,0,2,5,0,210,2018,7,16,0,0,0,87.18,1,0,0,0,0,1,1,1,7,2,43.59,0,0,0,0,0,1,0
2,0,0,2,0,115,2018,11,18,0,0,0,90.0,1,0,0,0,0,1,0,1,2,2,45.0,0,0,0,0,1,0,1
2,0,0,1,0,27,2018,5,4,0,0,0,85.0,0,0,0,0,1,0,1,1,1,2,42.5,0,0,1,0,0,0,1
2,0,1,3,0,28,2017,9,7,0,0,0,125.4,1,0,0,0,0,1,1,1,4,2,62.7,0,0,1,0,0,0,1
1,0,0,2,0,13,2017,8,18,0,0,0,80.0,2,0,0,0,0,1,1,1,2,1,80.0,0,0,1,0,0,0,1
2,0,0,3,0,50,2018,11,10,0,0,0,126.3,2,0,0,0,0,1,1,1,3,2,63.15,0,0,0,1,0,0,1
2,0,2,5,0,51,2018,8,29,0,0,0,123.3,0,0,0,0,0,1,1,4,7,2,61.65,0,0,0,1,0,0,1
2,0,1,3,0,85,2018,10,6,0,0,0,85.0,1,0,0,0,1,0,1,1,4,2,42.5,0,0,0,1,0,0,1
2,0,1,3,0,87,2018,7,18,0,0,0,141.75,1,0,0,0,0,1,0,1,4,2,70.875,0,0,0,1,0,0,1
2,0,0,3,0,261,2018,10,13,0,0,0,90.95,2,0,0,0,1,0,1,4,3,2,45.475,0,0,0,0,0,1,1
2,0,1,2,0,207,2018,12,30,0,0,0,161.67,0,0,0,0,1,0,1,1,3,2,80.835,0,0,0,0,0,1,1
2,0,2,5,0,14,2018,2,7,0,0,0,81.0,1,0,0,0,0,1,1,1,7,2,40.5,0,0,1,0,0,0,0
2,0,1,2,0,61,2018,11,11,0,0,0,88.0,1,0,0,0,0,1,1,1,3,2,44.0,0,0,0,1,0,0,0
2,0,2,1,0,36,2018,11,26,0,0,0,72.0,0,0,0,0,1,0,1,1,3,2,36.0,0,0,0,1,0,0,1
2,0,0,2,0,317,2018,9,15,0,0,0,120.0,0,0,0,0,0,1,0,1,2,2,60.0,0,0,0,0,0,1,1
2,0,0,5,1,5,2017,12,22,0,0,0,1.6,0,0,1,0,0,0,1,2,5,2,0.8,0,0,0,0,0,0,1
2,0,0,2,0,30,2018,1,15,0,0,0,75.15,1,0,0,0,0,1,1,6,2,2,37.575,0,0,1,0,0,0,1
2,0,1,3,0,28,2018,8,29,0,0,0,90.98,0,0,0,0,0,1,1,1,4,2,45.49,0,0,1,0,0,0,1
2,0,0,1,0,146,2018,8,5,0,0,0,81.25,1,0,0,0,1,0,1,1,1,2,40.625,0,0,0,0,1,0,1
2,0,1,2,0,39,2018,12,19,0,0,0,102.0,0,0,0,0,1,0,1,1,3,2,51.0,0,0,0,1,0,0,1
2,0,2,1,0,96,2017,7,11,0,0,0,94.5,0,0,0,0,0,1,0,1,3,2,47.25,0,0,0,0,1,0,1
2,0,0,2,0,29,2018,5,19,0,0,0,111.5,1,0,0,0,1,0,1,4,2,2,55.75,0,0,1,0,0,0,1
2,0,2,2,0,77,2018,3,20,0,0,0,90.95,0,0,0,0,0,1,1,4,4,2,45.475,0,0,0,1,0,0,1
2,0,0,2,0,46,2018,11,11,0,0,0,75.0,0,0,0,0,1,0,1,1,2,2,37.5,0,0,0,1,0,0,1
2,2,0,2,0,0,2017,8,7,0,0,0,153.0,1,0,0,0,0,1,1,6,2,4,38.25,1,0,0,0,0,0,0
2,0,0,2,0,15,2017,9,16,0,0,0,115.0,2,0,0,0,0,1,1,4,2,2,57.5,0,0,1,0,0,0,0
2,0,0,4,0,270,2018,4,20,0,0,0,62.8,0,0,0,0,0,1,0,1,4,2,31.4,0,0,0,0,0,1,1
2,0,2,1,0,34,2018,6,19,0,0,0,122.4,0,0,0,0,0,1,0,4,3,2,61.2,0,0,0,1,0,0,1
2,0,0,4,0,214,2018,7,12,0,0,0,81.5,1,0,0,0,0,1,0,2,4,2,40.75,0,0,0,0,0,1,1
2,0,1,1,0,0,2017,11,2,0,0,0,104.0,1,0,0,0,0,1,1,1,2,2,52.0,0,0,0,0,0,0,1
2,0,0,5,0,41,2018,10,4,0,0,0,139.5,2,0,0,0,0,1,1,4,5,2,69.75,0,0,0,1,0,0,1
1,0,0,2,0,151,2018,1,19,0,0,0,71.0,0,0,0,0,1,0,1,1,2,1,71.0,0,0,0,0,1,0,1
1,0,2,4,0,15,2018,11,5,0,0,0,107.99,1,0,0,0,0,1,1,1,6,1,107.99,0,0,1,0,0,0,1
2,0,2,2,0,122,2018,6,11,0,0,0,109.65,0,0,0,0,0,1,1,1,4,2,54.825,0,0,0,0,1,0,0
2,0,2,1,0,15,2018,1,24,0,0,0,68.99,1,0,0,0,0,1,1,1,3,2,34.495,0,0,1,0,0,0,1
2,0,0,2,0,36,2018,6,29,0,0,0,133.1,0,0,0,0,0,1,1,4,2,2,66.55,0,0,0,1,0,0,1
2,0,1,3,0,29,2018,11,17,0,0,0,89.9,1,0,0,0,0,1,1,1,4,2,44.95,0,0,1,0,0,0,1
2,0,0,2,0,39,2017,8,14,0,0,0,101.5,0,0,0,0,1,0,1,1,2,2,50.75,0,0,0,1,0,0,1
2,0,1,2,0,89,2018,3,25,0,0,0,105.3,1,0,0,0,0,1,0,4,3,2,52.65,0,0,0,1,0,0,1
1,0,1,1,0,89,2018,12,10,0,0,0,96.0,2,0,0,0,0,1,1,1,2,1,96.0,0,0,0,1,0,0,1
2,0,1,2,0,132,2018,7,29,0,0,0,124.8,1,0,0,0,0,1,1,4,3,2,62.4,0,0,0,0,1,0,1
2,0,0,2,0,68,2017,9,29,0,0,0,48.0,0,0,0,0,1,0,1,1,2,2,24.0,0,0,0,1,0,0,1
2,0,1,1,0,44,2018,6,18,0,0,0,96.3,0,0,0,0,1,0,1,4,2,2,48.15,0,0,0,1,0,0,1
2,0,0,1,0,2,2018,1,28,0,0,0,92.0,1,0,0,0,0,1,1,1,1,2,46.0,0,0,0,0,0,0,1
2,0,0,1,0,1,2018,5,10,0,0,0,84.0,0,0,0,0,0,1,0,1,1,2,42.0,0,0,0,0,0,0,1
2,0,0,2,0,26,2018,10,21,0,0,0,139.0,1,0,0,0,0,1,1,1,2,2,69.5,0,0,1,0,0,0,1
2,0,0,5,0,120,2018,8,9,0,0,0,127.8,1,0,0,0,0,1,1,4,5,2,63.9,0,0,0,0,1,0,1
2,0,1,2,0,19,2018,9,23,0,0,0,139.0,1,0,0,0,0,1,1,1,3,2,69.5,0,0,1,0,0,0,1
2,0,2,3,1,207,2017,8,21,0,0,0,76.5,2,0,0,0,0,1,1,1,5,2,38.25,0,0,0,0,0,1,1
2,0,0,2,0,273,2017,7,17,0,0,0,109.0,0,0,0,0,0,1,0,1,2,2,54.5,0,0,0,0,0,1,1
2,0,0,2,0,39,2017,8,14,0,0,0,101.5,0,0,0,0,1,0,1,1,2,2,50.75,0,0,0,1,0,0,1
2,0,1,0,0,286,2018,10,16,0,0,0,90.0,0,0,0,0,0,1,0,1,1,2,45.0,0,0,0,0,0,1,1
2,0,0,3,0,45,2018,3,3,0,0,0,78.3,0,0,0,0,0,1,0,1,3,2,39.15,0,0,0,1,0,0,1
2,0,0,2,0,11,2018,10,4,1,1,1,97.2727575083911,0,0,1,0,0,0,1,1,2,2,48.63637875419555,0,0,1,0,0,0,1
1,0,0,2,0,273,2017,7,17,0,0,0,87.0,0,0,0,0,1,0,1,1,2,1,87.0,0,0,0,0,0,1,1
2,0,0,3,0,101,2018,7,13,0,0,0,105.3,0,0,0,0,0,1,0,1,3,2,52.65,0,0,0,0,1,0,1
2,0,0,4,0,178,2018,8,10,0,0,0,99.45,2,0,0,0,0,1,1,1,4,2,49.725,0,0,0,0,1,0,1
2,0,0,2,0,317,2018,9,15,0,0,0,120.0,0,0,0,0,0,1,0,1,2,2,60.0,0,0,0,0,0,1,1
2,0,1,2,0,267,2018,9,30,0,0,0,95.0,0,0,0,0,0,1,0,1,3,2,47.5,0,0,0,0,0,1,1
2,0,0,0,0,274,2018,11,4,0,0,0,97.2727575083911,2,0,0,0,0,1,1,1,0,2,48.63637875419555,0,0,0,0,0,1,1
1,0,0,3,0,74,2018,5,17,0,0,0,126.9,0,0,0,0,0,1,1,1,3,1,126.9,0,0,0,1,0,0,1
2,0,2,3,0,268,2018,4,8,0,0,0,78.0,0,0,0,0,0,1,0,1,5,2,39.0,0,0,0,0,0,1,1
3,0,2,4,0,16,2017,9,5,0,0,0,117.6,1,0,0,0,1,0,1,1,6,3,39.2,0,0,1,0,0,0,1
2,0,1,3,0,250,2018,9,26,0,0,0,95.0,0,0,0,0,0,1,0,1,4,2,47.5,0,0,0,0,0,1,1
2,0,0,3,0,30,2018,7,14,0,0,0,149.4,0,0,0,0,0,1,0,4,3,2,74.7,0,0,1,0,0,0,1
1,0,0,2,0,181,2018,10,11,0,0,0,120.0,0,0,0,0,0,1,0,1,2,1,120.0,0,0,0,0,0,1,1
2,0,2,1,0,193,2018,7,9,0,0,0,70.44,1,0,0,0,0,1,1,1,3,2,35.22,0,0,0,0,0,1,1
3,0,0,3,0,128,2018,8,4,0,0,0,140.7,1,0,0,0,0,1,1,4,3,3,46.9,0,0,0,0,1,0,1
1,0,0,1,0,11,2017,12,15,0,0,0,65.0,0,0,0,1,0,0,1,1,1,1,65.0,0,0,1,0,0,0,1
1,0,1,0,0,3,2018,4,25,1,0,4,65.0,0,0,0,1,0,0,1,1,1,1,65.0,0,0,0,0,0,0,1
2,0,0,1,0,5,2017,9,2,1,0,1,12.0,1,0,0,0,1,0,1,1,1,2,6.0,0,0,0,0,0,0,1
2,0,2,5,0,195,2018,9,27,0,0,0,112.56,1,0,0,0,0,1,0,1,7,2,56.28,0,0,0,0,0,1,1
2,0,3,5,0,155,2018,5,22,0,0,0,177.35,0,0,0,0,0,1,0,6,8,2,88.675,0,1,0,0,1,0,1
2,1,1,0,0,0,2018,7,10,0,0,0,15.0,0,0,0,0,0,1,1,1,1,3,5.0,1,0,0,0,0,0,1
2,0,2,2,0,141,2018,9,4,0,0,0,133.65,2,0,0,0,0,1,1,1,4,2,66.825,0,0,0,0,1,0,1
1,0,0,3,0,12,2018,1,19,0,0,0,72.0,0,0,0,0,1,0,1,1,3,1,72.0,0,0,1,0,0,0,1
2,0,2,3,0,29,2018,3,11,0,0,0,63.87,1,0,0,0,0,1,1,1,5,2,31.935,0,0,1,0,0,0,1
2,0,0,3,0,44,2018,2,17,0,0,0,75.0,0,0,0,0,1,0,1,1,3,2,37.5,0,0,0,1,0,0,1
2,0,2,1,0,4,2017,8,8,0,0,0,94.5,0,0,0,0,1,0,1,1,3,2,47.25,0,0,0,0,0,0,1
2,0,1,2,0,191,2018,6,3,0,0,0,132.0,0,0,0,0,0,1,0,1,3,2,66.0,0,0,0,0,0,1,1
3,0,0,1,0,84,2018,7,13,0,0,0,137.7,0,0,0,0,0,1,1,4,1,3,45.9,0,0,0,1,0,0,1
2,0,0,1,0,20,2018,10,27,0,0,0,85.0,0,0,0,0,1,0,1,1,1,2,42.5,0,0,1,0,0,0,0
2,0,0,3,0,21,2018,10,25,0,0,0,85.0,0,0,0,0,1,0,1,1,3,2,42.5,0,0,1,0,0,0,0
3,0,1,2,0,46,2018,9,2,0,0,0,142.2,0,0,0,0,0,1,1,4,3,3,47.4,0,0,0,1,0,0,1
1,0,2,4,0,69,2018,6,12,0,0,0,120.0,0,0,0,0,0,1,0,1,6,1,120.0,0,0,0,1,0,0,1
2,0,0,3,0,128,2018,8,3,0,0,0,94.5,1,0,0,0,0,1,1,1,3,2,47.25,0,0,0,0,1,0,0
2,0,0,2,0,102,2017,10,16,0,0,0,109.0,0,0,0,0,1,0,1,1,2,2,54.5,0,0,0,0,1,0,1
1,0,0,2,0,164,2017,10,2,0,0,0,100.0,0,0,0,0,1,0,1,1,2,1,100.0,0,0,0,0,1,0,1
2,0,2,0,0,13,2017,12,6,1,1,0,107.0,2,0,0,0,0,1,1,1,2,2,53.5,0,0,1,0,0,0,1
1,0,0,2,0,230,2018,10,7,0,0,0,103.5,0,0,0,0,0,1,0,1,2,1,103.5,0,0,0,0,0,1,1
0,2,1,0,0,197,2018,7,17,0,0,0,86.5,0,0,0,0,0,1,0,2,1,2,43.25,1,0,0,0,0,1,1
2,0,2,2,1,190,2018,5,6,0,0,0,109.3,0,0,0,0,0,1,0,2,4,2,54.65,0,0,0,0,0,1,1
2,0,0,3,0,183,2018,9,8,0,0,0,110.0,1,0,0,0,0,1,0,1,3,2,55.0,0,0,0,0,0,1,1
2,0,0,1,0,72,2017,9,18,0,0,0,108.0,0,0,0,0,1,0,1,1,1,2,54.0,0,0,0,1,0,0,1
1,0,1,0,0,5,2017,9,21,0,0,0,145.0,0,0,0,0,0,1,1,1,1,1,145.0,0,0,0,0,0,0,1
3,0,0,1,0,60,2018,3,29,0,0,0,123.3,1,0,0,0,0,1,0,4,1,3,41.1,0,0,0,1,0,0,1
2,1,1,3,0,27,2018,3,21,0,0,0,62.8,0,0,0,0,1,0,1,1,4,3,20.933333333333334,1,0,1,0,0,0,0
1,0,1,2,0,118,2018,6,6,0,0,0,119.0,0,0,0,0,1,0,1,1,3,1,119.0,0,0,0,0,1,0,1
1,0,2,3,0,6,2017,8,14,0,0,0,83.2,1,0,0,0,0,1,1,1,5,1,83.2,0,0,0,0,0,0,1
2,0,0,2,0,23,2018,8,3,0,0,0,151.0,1,0,0,0,0,1,1,1,2,2,75.5,0,0,1,0,0,0,1
2,0,1,0,0,5,2018,8,21,0,0,0,167.0,0,0,0,0,0,1,0,1,1,2,83.5,0,0,0,0,0,0,1
1,0,0,1,0,0,2018,7,5,0,0,0,135.0,1,0,0,0,0,1,1,1,1,1,135.0,0,0,0,0,0,0,1
2,0,1,1,0,20,2018,3,19,0,0,0,109.0,1,0,0,0,0,1,1,1,2,2,54.5,0,0,1,0,0,0,1
2,0,1,2,0,17,2018,3,11,0,0,0,97.0,0,0,0,0,0,1,0,1,3,2,48.5,0,0,1,0,0,0,0
2,0,2,1,0,45,2018,12,4,0,0,0,60.98,1,0,0,0,0,1,1,1,3,2,30.49,0,0,0,1,0,0,0
2,0,2,4,0,79,2018,6,16,0,0,0,120.6,0,0,0,0,0,1,1,1,6,2,60.3,0,0,0,1,0,0,0
2,0,0,1,0,77,2018,6,28,0,0,0,98.41,0,0,0,0,0,1,0,4,1,2,49.205,0,0,0,1,0,0,1
2,0,1,2,0,273,2018,5,13,0,0,0,95.0,0,0,0,0,0,1,0,1,3,2,47.5,0,0,0,0,0,1,1
1,0,0,2,0,188,2018,6,15,0,0,0,130.0,0,0,0,0,0,1,0,1,2,1,130.0,0,0,0,0,0,1,1
1,0,0,2,0,14,2017,10,15,0,0,0,100.0,0,0,0,0,1,0,1,1,2,1,100.0,0,0,1,0,0,0,1
2,0,0,1,0,6,2018,3,2,0,0,0,93.0,1,0,0,0,0,1,0,1,1,2,46.5,0,0,0,0,0,0,1
1,0,0,2,0,164,2017,10,2,0,0,0,100.0,0,0,0,0,1,0,1,1,2,1,100.0,0,0,0,0,1,0,1
2,0,1,2,0,137,2018,6,10,0,0,0,80.75,0,0,0,0,1,0,1,2,3,2,40.375,0,0,0,0,1,0,1
2,0,0,2,0,23,2018,11,17,0,0,0,88.0,2,0,0,0,0,1,1,1,2,2,44.0,0,0,1,0,0,0,0
1,0,0,1,0,1,2018,6,7,0,0,0,95.0,0,0,0,1,0,0,1,1,1,1,95.0,0,0,0,0,0,0,1
2,0,0,1,0,49,2018,3,17,0,0,0,71.1,1,0,0,0,0,1,0,1,1,2,35.55,0,0,0,1,0,0,0
2,0,0,3,0,134,2018,8,11,0,0,0,103.5,2,0,0,0,0,1,1,1,3,2,51.75,0,0,0,0,1,0,0
2,0,0,2,0,6,2018,2,26,0,0,0,79.0,0,0,0,0,0,1,0,1,2,2,39.5,0,0,0,0,0,0,0
1,0,1,2,0,42,2018,4,1,0,0,0,112.5,1,0,0,0,0,1,1,1,3,1,112.5,0,0,0,1,0,0,1
2,1,1,3,0,26,2017,10,19,0,0,0,90.0,2,0,0,0,1,0,1,4,4,3,30.0,1,0,1,0,0,0,1
2,0,0,3,0,43,2018,11,1,0,0,0,75.0,0,0,0,0,1,0,1,1,3,2,37.5,0,0,0,1,0,0,1
2,0,1,2,0,10,2018,9,5,0,0,0,164.0,1,0,0,0,0,1,1,4,3,2,82.0,0,0,1,0,0,0,1
2,0,0,1,0,16,2018,4,22,0,0,0,117.0,0,0,0,0,0,1,0,1,1,2,58.5,0,0,1,0,0,0,1
0,2,0,2,0,187,2018,7,7,0,0,0,86.5,1,0,0,0,0,1,0,2,2,2,43.25,1,0,0,0,0,1,1
2,0,2,2,0,60,2018,3,20,0,0,0,75.0,0,0,0,0,0,1,0,1,4,2,37.5,0,0,0,1,0,0,1
2,0,0,2,0,51,2018,11,4,0,0,0,75.0,0,0,0,0,1,0,1,1,2,2,37.5,0,0,0,1,0,0,1
2,0,0,3,0,16,2018,2,16,0,0,0,65.52,0,0,0,0,0,1,1,1,3,2,32.76,0,0,1,0,0,0,1
2,0,2,8,0,115,2018,9,6,0,0,0,129.6,2,0,0,0,0,1,1,1,10,2,64.8,0,1,0,0,1,0,1
2,0,0,2,0,46,2018,10,25,0,0,0,119.5,2,0,0,0,0,1,1,1,2,2,59.75,0,0,0,1,0,0,0
2,0,1,1,0,301,2018,7,30,0,0,0,115.0,1,0,0,0,0,1,0,1,2,2,57.5,0,0,0,0,0,1,1
2,0,1,5,0,349,2018,10,4,0,0,0,123.33,0,0,0,0,0,1,0,1,6,2,61.665,0,0,0,0,0,1,1
2,0,1,1,0,59,2018,6,4,0,0,0,153.09,1,0,0,0,0,1,0,4,2,2,76.545,0,0,0,1,0,0,1
2,0,2,1,0,193,2018,9,10,0,0,0,97.71,1,0,0,0,0,1,1,1,3,2,48.855,0,0,0,0,0,1,1
2,0,0,3,0,193,2017,10,15,0,0,0,65.0,0,0,0,0,0,1,0,1,3,2,32.5,0,0,0,0,0,1,1
2,0,0,1,1,149,2018,6,3,0,0,0,124.2,0,0,0,0,0,1,1,1,1,2,62.1,0,0,0,0,1,0,1
2,0,1,3,0,183,2018,7,4,0,0,0,98.25,1,0,0,0,0,1,0,1,4,2,49.125,0,0,0,0,0,1,0
2,0,2,4,0,228,2018,10,5,0,0,0,115.6,2,0,0,0,0,1,0,4,6,2,57.8,0,0,0,0,0,1,1
2,0,1,2,0,29,2018,3,4,0,0,0,87.0,0,0,0,0,1,0,1,1,3,2,43.5,0,0,1,0,0,0,1
3,0,2,1,0,111,2018,7,24,0,0,0,137.7,0,0,0,0,0,1,0,4,3,3,45.9,0,0,0,0,1,0,1
2,0,2,1,0,83,2018,5,1,0,0,0,75.0,0,0,0,0,1,0,1,1,3,2,37.5,0,0,0,1,0,0,1
2,0,1,2,0,273,2018,9,30,0,0,0,106.2,0,0,0,0,0,1,0,1,3,2,53.1,0,0,0,0,0,1,1
3,0,2,1,0,9,2018,2,13,0,0,0,127.0,1,0,0,0,0,1,1,4,3,3,42.333333333333336,0,0,1,0,0,0,1
2,0,1,2,0,20,2018,10,3,0,0,0,149.0,1,0,0,0,0,1,1,1,3,2,74.5,0,0,1,0,0,0,1
2,0,0,1,0,254,2018,7,9,0,0,0,100.7,1,0,0,0,0,1,0,2,1,2,50.35,0,0,0,0,0,1,1
2,0,2,1,0,34,2018,5,1,0,0,0,126.9,0,0,0,0,0,1,0,1,3,2,63.45,0,0,0,1,0,0,1
2,0,0,2,0,29,2018,2,12,0,0,0,86.45,1,0,0,0,0,1,1,1,2,2,43.225,0,0,1,0,0,0,1
1,0,2,0,0,200,2018,10,23,0,0,0,90.0,0,0,0,0,1,0,1,1,2,1,90.0,0,0,0,0,0,1,1
2,0,2,5,0,35,2018,12,4,0,0,0,74.8,2,0,0,0,0,1,1,1,7,2,37.4,0,0,0,1,0,0,0
2,0,2,2,0,17,2018,2,13,0,0,0,61.88,1,0,0,0,0,1,1,1,4,2,30.94,0,0,1,0,0,0,1
1,0,0,2,0,6,2017,12,10,0,0,0,97.2727575083911,0,0,0,0,0,1,1,1,2,1,97.2727575083911,0,0,0,0,0,0,1
2,0,1,2,0,46,2018,12,16,0,0,0,79.2,1,0,0,0,0,1,1,1,3,2,39.6,0,0,0,1,0,0,0
1,0,0,2,0,265,2018,6,24,0,0,0,90.0,0,0,0,0,1,0,1,1,2,1,90.0,0,0,0,0,0,1,1
1,0,2,1,0,1,2018,2,28,0,0,0,60.0,0,0,0,0,0,1,0,1,3,1,60.0,0,0,0,0,0,0,1
2,0,0,1,0,35,2018,12,28,0,0,0,183.0,1,0,0,0,0,1,1,1,1,2,91.5,0,0,0,1,0,0,1
2,0,2,3,0,50,2017,10,18,0,0,0,94.5,1,0,0,0,0,1,1,1,5,2,47.25,0,0,0,1,0,0,1
2,0,0,3,0,98,2018,7,21,0,0,0,124.8,0,0,0,0,0,1,0,4,3,2,62.4,0,0,0,0,1,0,1
2,0,0,3,0,308,2018,11,23,0,0,0,78.3,2,0,0,0,0,1,0,1,3,2,39.15,0,0,0,0,0,1,1
2,0,0,3,0,25,2018,11,22,0,0,0,80.08,1,0,0,0,0,1,1,1,3,2,40.04,0,0,1,0,0,0,1
2,0,1,4,0,7,2018,1,18,0,0,0,48.4,0,0,0,0,1,0,1,1,5,2,24.2,0,0,0,0,0,0,1
1,0,2,1,0,1,2018,2,28,0,0,0,60.0,0,0,0,0,0,1,0,1,3,1,60.0,0,0,0,0,0,0,1
2,0,0,3,0,104,2017,12,3,0,0,0,75.0,0,0,0,0,1,0,1,1,3,2,37.5,0,0,0,0,1,0,1
1,0,0,1,0,14,2018,6,23,0,0,0,84.0,0,0,0,0,1,0,1,1,1,1,84.0,0,0,1,0,0,0,0
2,0,1,4,0,16,2018,1,25,0,0,0,77.25,0,0,0,0,0,1,1,2,5,2,38.625,0,0,1,0,0,0,1
2,0,2,2,0,25,2017,10,4,0,0,0,84.0,2,0,0,0,0,1,1,1,4,2,42.0,0,0,1,0,0,0,1
2,0,2,4,0,6,2017,8,12,0,0,0,90.0,2,0,0,0,0,1,1,1,6,2,45.0,0,0,0,0,0,0,1
2,0,2,5,0,2,2018,8,23,0,0,0,86.28,0,0,0,0,0,1,1,1,7,2,43.14,0,0,0,0,0,0,0
2,0,1,3,0,240,2018,10,27,0,0,0,90.95,2,0,0,0,0,1,1,1,4,2,45.475,0,0,0,0,0,1,1
2,0,0,2,1,23,2018,9,6,0,0,0,118.0,1,0,0,0,0,1,1,1,2,2,59.0,0,0,1,0,0,0,1
1,0,1,0,1,45,2018,11,28,1,0,4,67.0,0,0,0,1,0,0,1,1,1,1,67.0,0,0,0,1,0,0,1
2,0,0,3,0,47,2018,10,11,0,0,0,108.0,0,0,0,0,0,1,1,1,3,2,54.0,0,0,0,1,0,0,0
2,0,1,2,0,193,2018,6,20,0,0,0,120.0,0,0,0,0,0,1,0,1,3,2,60.0,0,0,0,0,0,1,1
3,0,0,3,0,12,2017,8,5,0,0,0,90.0,0,0,0,1,0,0,1,1,3,3,30.0,0,0,1,0,0,0,1
2,0,0,2,0,51,2018,8,18,0,0,0,125.1,0,0,0,0,0,1,0,1,2,2,62.55,0,0,0,1,0,0,0
2,0,0,1,0,32,2018,9,2,0,0,0,72.42,1,0,0,0,0,1,1,1,1,2,36.21,0,0,0,1,0,0,0
2,0,1,2,0,98,2018,6,10,0,0,0,116.1,2,0,0,0,0,1,1,1,3,2,58.05,0,0,0,0,1,0,0
2,0,2,1,0,71,2018,4,24,0,0,0,88.5,0,0,0,0,0,1,1,1,3,2,44.25,0,0,0,1,0,0,0
1,0,0,1,0,0,2018,5,4,1,4,15,208.38780000000003,1,0,1,0,0,0,1,7,1,1,208.38780000000003,0,0,0,0,0,0,1
2,0,2,2,0,37,2018,4,29,0,0,0,126.9,0,0,0,0,0,1,0,1,4,2,63.45,0,0,0,1,0,0,1
3,0,2,3,0,241,2018,10,7,0,0,0,150.45,1,0,0,0,0,1,0,4,5,3,50.15,0,0,0,0,0,1,1
2,0,1,1,1,130,2018,5,28,0,0,0,134.1,1,0,0,0,0,1,1,4,2,2,67.05,0,0,0,0,1,0,1
2,0,2,1,0,24,2018,9,18,0,0,0,149.0,2,0,0,0,0,1,1,1,3,2,74.5,0,0,1,0,0,0,1
1,0,1,1,0,114,2018,5,2,0,0,0,99.9,0,0,0,0,0,1,0,1,2,1,99.9,0,0,0,0,1,0,1
1,0,2,0,0,12,2018,5,29,0,0,0,97.02,1,0,0,0,0,1,1,1,2,1,97.02,0,0,1,0,0,0,1
1,0,0,2,0,346,2018,9,13,0,0,0,90.0,0,0,0,0,1,0,1,1,2,1,90.0,0,0,0,0,0,1,1
2,0,0,1,0,31,2018,4,14,0,0,0,94.5,0,0,0,0,0,1,0,1,1,2,47.25,0,0,0,1,0,0,0
3,0,2,2,0,191,2018,6,4,0,0,0,101.34,2,0,0,0,0,1,0,4,4,3,33.78,0,0,0,0,0,1,1
